,question,ans,blanks,a),b),c),d),e)
83075,My brother is good _____ playing basketball. ,d,1,My brother is good of playing basketball.,My brother is good in playing basketball.,My brother is good for playing basketball.,My brother is good at playing basketball.,
83076,The Greens are going to take the plane to Beijing _____ Saturday morning. ,c,1,The Greens are going to take the plane to Beijing in Saturday morning.,The Greens are going to take the plane to Beijing at Saturday morning.,The Greens are going to take the plane to Beijing on Saturday morning.,The Greens are going to take the plane to Beijing of Saturday morning.,
83077,I will _____ my kite tomorrow. ,b,1,I will takes my kite tomorrow.,I will take my kite tomorrow.,I will taking my kite tomorrow.,,
83078,"He studies English, _____ he can go to the university in England. ",b,1,"He studies English, while he can go to the university in England.","He studies English, so he can go to the university in England.","He studies English, or he can go to the university in England.","He studies English, but he can go to the university in England.",
83079,I was able to help my parents _____ housework at the age of 5. ,a,1,I was able to help my parents with housework at the age of 5.,I was able to help my parents for housework at the age of 5.,I was able to help my parents at housework at the age of 5.,I was able to help my parents in housework at the age of 5.,
83080,Beijing is a huge city _____ a large population. ,d,1,Beijing is a huge city on a large population.,Beijing is a huge city in a large population.,Beijing is a huge city to a large population.,Beijing is a huge city with a large population.,
83081,My brother and I live in a room _____ two windows. ,c,1,My brother and I live in a room and two windows.,My brother and I live in a room / two windows.,My brother and I live in a room with two windows.,My brother and I live in a room has two windows.,
83082,There are _____ pears in the fridge. ,c,1,There are much pears in the fridge.,There are any pears in the fridge.,There are some pears in the fridge.,,
83083,"It would be smart to use a plastic bottle, _____ top is cut off as a container to grow young plant in. ",c,1,"It would be smart to use a plastic bottle, where top is cut off as a container to grow young plant in.","It would be smart to use a plastic bottle, which top is cut off as a container to grow young plant in.","It would be smart to use a plastic bottle, whose top is cut off as a container to grow young plant in.","It would be smart to use a plastic bottle, when top is cut off as a container to grow young plant in.",
83084,There _____ a glass. ,a,1,There is a glass.,There are a glass.,There am a glass.,,
83085,That is _____ computer. ,c,1,That is Lily computer.,That is Lilys computer.,That is Lily's computer.,,
83086,How many _____ have the children had snake soup? ,b,1,How many time have the children had snake soup?,How many times have the children had snake soup?,How many job have the children had snake soup?,How many jobs have the children had snake soup?,
83087,"After the fire, _____ would otherwise be a cultural center is now reduced to a pile of ashes. ",c,1,"After the fire, that would otherwise be a cultural center is now reduced to a pile of ashes.","After the fire, it would otherwise be a cultural center is now reduced to a pile of ashes.","After the fire, what would otherwise be a cultural center is now reduced to a pile of ashes.","After the fire, which would otherwise be a cultural center is now reduced to a pile of ashes.",
83088,The English supermarket _____ many things from China. ,b,1,The English supermarket wants many things from China.,The English supermarket sells many things from China.,The English supermarket shows many things from China.,,
83089,Nancy is _____ the vase. ,a,1,Nancy is polishing the vase.,Nancy is cleaned the vase.,Nancy is cooking the vase.,,
83090,His father doesn't smoke _____ drink wine. ,c,1,His father doesn't smoke and drink wine.,His father doesn't smoke for drink wine.,His father doesn't smoke or drink wine.,His father doesn't smoke with drink wine.,
83091,The students _____ on the playground. ,c,1,The students collected on the playground.,The students together on the playground.,The students gathered on the playground.,,
83092,"_____ he is only 8 years old, he knows more about science than his father．",b,1,"But he is only 8 years old, he knows more about science than his father．","Though he is only 8 years old, he knows more about science than his father．","So he is only 8 years old, he knows more about science than his father．","Because he is only 8 years old, he knows more about science than his father．",
83093,Here _____ some juice for you. ,b,1,Here am some juice for you.,Here is some juice for you.,Here are some juice for you.,,
83094,You will have a great time _____ you go to the party. ,b,1,You will have a great time so you go to the party.,You will have a great time if you go to the party.,You will have a great time although you go to the party.,You will have a great time and you go to the party.,
83095,"Mo Yan became the first Chinese Nobel Prize winner in Literature, _____ left school to make a living at the age of 12. ",d,1,"Mo Yan became the first Chinese Nobel Prize winner in Literature, as left school to make a living at the age of 12.","Mo Yan became the first Chinese Nobel Prize winner in Literature, which left school to make a living at the age of 12.","Mo Yan became the first Chinese Nobel Prize winner in Literature, that left school to make a living at the age of 12.","Mo Yan became the first Chinese Nobel Prize winner in Literature, who left school to make a living at the age of 12.",
83096,"It is said that a most popular emoji (expression of emotion on the Internet) is the ""face with the rolling eyes"", _____ is used in 14 percent of text messages. ",c,1,"It is said that a most popular emoji (expression of emotion on the Internet) is the ""face with the rolling eyes"", that is used in 14 percent of text messages.","It is said that a most popular emoji (expression of emotion on the Internet) is the ""face with the rolling eyes"", what is used in 14 percent of text messages.","It is said that a most popular emoji (expression of emotion on the Internet) is the ""face with the rolling eyes"", which is used in 14 percent of text messages.","It is said that a most popular emoji (expression of emotion on the Internet) is the ""face with the rolling eyes"", whose is used in 14 percent of text messages.",
83097,My friends want some egg soup _____ starter. ,c,1,My friends want some egg soup on starter.,My friends want some egg soup in starter.,My friends want some egg soup for starter.,,
83098,Compare these two books. Could you find their _____ ?,c,1,Compare these two books. Could you find their instructions ?,Compare these two books. Could you find their difficulties ?,Compare these two books. Could you find their differences ?,,
83099,My mother is good at _____ . ,b,1,My mother is good at cooks .,My mother is good at cooking .,My mother is good at cooks .,,
83100,Look! A red _____ /klɒk/ is in the room. ,a,1,Look! A red clock /klɒk/ is in the room.,Look! A red desk /klɒk/ is in the room.,Look! A red notebook /klɒk/ is in the room.,Look! A red soccer /klɒk/ is in the room.,
83101,My parents are _____ famous writers. ,c,1,My parents are all famous writers.,My parents are none famous writers.,My parents are both famous writers.,My parents are most famous writers.,
83102,Mary: The park is about three kilometers from my house. Daniel: Three kilometers? We make our tone rise at the end of a sentence to show _____ . ,b,1,Mary: The park is about three kilometers from my house. Daniel: Three kilometers? We make our tone rise at the end of a sentence to show fear .,Mary: The park is about three kilometers from my house. Daniel: Three kilometers? We make our tone rise at the end of a sentence to show surprise .,Mary: The park is about three kilometers from my house. Daniel: Three kilometers? We make our tone rise at the end of a sentence to show pleasure .,Mary: The park is about three kilometers from my house. Daniel: Three kilometers? We make our tone rise at the end of a sentence to show excitement .,
83103,Let's _____ it together. ,a,1,Let's do it together.,Let's doing it together.,Let's does it together.,,
83104,Mom always gives me a _____ /hʌg / when I get home every day. ,b,1,Mom always gives me a bag /hʌg / when I get home every day.,Mom always gives me a hug /hʌg / when I get home every day.,Mom always gives me a pig /hʌg / when I get home every day.,Mom always gives me a bug /hʌg / when I get home every day.,
83105,"I'd love to go to the movies with you, _____ I'm too busy today. ",a,1,"I'd love to go to the movies with you, but I'm too busy today.","I'd love to go to the movies with you, and I'm too busy today.","I'd love to go to the movies with you, so I'm too busy today.","I'd love to go to the movies with you, or I'm too busy today.",
83106,I help mum to _____ the clothes on the rope. ,a,1,I help mum to hang the clothes on the rope.,I help mum to pull the clothes on the rope.,I help mum to return the clothes on the rope.,,
83107,The _____ is full of dishes. ,a,1,The sink is full of dishes.,The water is full of dishes.,The plate is full of dishes.,The table is full of dishes.,
83108,We don't know her. She is a _____ to us.,b,1,We don't know her. She is a relative to us.,We don't know her. She is a stranger to us.,We don't know her. She is a sister to us.,We don't know her. She is a classmate to us.,
83109," _____ the right side was weak, the enemy decided to attack it. ",c,1,"Though the right side was weak, the enemy decided to attack it.","But the right side was weak, the enemy decided to attack it.","Since the right side was weak, the enemy decided to attack it.","Although the right side was weak, the enemy decided to attack it.",
83110,"In Britain, cars are driven _____ the left. ",b,1,"In Britain, cars are driven in the left.","In Britain, cars are driven on the left.","In Britain, cars are driven at the left.","In Britain, cars are driven to the left.",
83111,"I can't find my math book, so I ask the friend _____ help me. ",a,1,"I can't find my math book, so I ask the friend to help me.","I can't find my math book, so I ask the friend for help me.","I can't find my math book, so I ask the friend of help me.","I can't find my math book, so I ask the friend with help me.",
83112,Let me give you some _____ advice. ,a,1,Let me give you some valuable advice.,Let me give you some value advice.,Let me give you some valueless advice.,Let me give you some valuably advice.,
83113,They _____ tradedland for goods and money. ,c,1,They business tradedland for goods and money.,They changed tradedland for goods and money.,They exchanged tradedland for goods and money.,They bought tradedland for goods and money.,
83114," _____ the past, children had no electronic games to play with. ",c,1,"On the past, children had no electronic games to play with.","At the past, children had no electronic games to play with.","In the past, children had no electronic games to play with.",,
83115,"Work hard, _____ you will be better and better. ",c,1,"Work hard, or you will be better and better.","Work hard, but you will be better and better.","Work hard, and you will be better and better.","Work hard, then you will be better and better.",
83116,I'm going to Beijing _____ subway. ,c,1,I'm going to Beijing in subway.,I'm going to Beijing on subway.,I'm going to Beijing by subway.,,
83117,Last week my father went to Shanghai _____ business.,c,1,Last week my father went to Shanghai on business.,Last week my father went to Shanghai in business.,Last week my father went to Shanghai for business.,Last week my father went to Shanghai at business.,
83118,Hamburgers taste good _____ many students like to eat them for lunch. ,a,1,Hamburgers taste good and many students like to eat them for lunch.,Hamburgers taste good but many students like to eat them for lunch.,Hamburgers taste good before many students like to eat them for lunch.,Hamburgers taste good because many students like to eat them for lunch.,
83119,"They put me in prison, but, in the end, I was proved _____ . ",a,1,"They put me in prison, but, in the end, I was proved innocent .","They put me in prison, but, in the end, I was proved infectious .","They put me in prison, but, in the end, I was proved influential .","They put me in prison, but, in the end, I was proved independent .",
83120,That's _____ book. ,b,1,That's me book.,That's my book.,That's I book.,That's mine book.,
83121," _____ you play baseball, Lily? ",a,1,"Can you play baseball, Lily?","Must you play baseball, Lily?","Should you play baseball, Lily?","Need you play baseball, Lily?",
83122,This is my sister. _____ is a student.,a,1,This is my sister. She is a student.,This is my sister. He is a student.,This is my sister. I is a student.,,
83123,Paper _____ first invented in China. ,c,1,Paper is first invented in China.,Paper are first invented in China.,Paper was first invented in China.,Paper were first invented in China.,
83124,"I hear that the Sixth Stamp Culture Festival starts _____ October 18th, right?",a,1,"I hear that the Sixth Stamp Culture Festival starts on October 18th, right?","I hear that the Sixth Stamp Culture Festival starts in October 18th, right?","I hear that the Sixth Stamp Culture Festival starts at October 18th, right?","I hear that the Sixth Stamp Culture Festival starts from October 18th, right?",
83125,Let's go _____ have a look. ,c,1,Let's go or have a look.,Let's go with have a look.,Let's go and have a look.,,
83126,Do you know the boy _____ under the big tree? ,d,1,Do you know the boy lay under the big tree?,Do you know the boy lain under the big tree?,Do you know the boy laying under the big tree?,Do you know the boy lying under the big tree?,
83127,Choose the correct answer. The blue crayons are Dan's. _____ are yellow.,c,1,Choose the correct answer. The blue crayons are Dan's. Tim are yellow.,Choose the correct answer. The blue crayons are Dan's. Your are yellow.,Choose the correct answer. The blue crayons are Dan's. Yours are yellow.,,
83128,The girl _____ my mother and father is me!,c,1,The girl under my mother and father is me!,The girl below my mother and father is me!,The girl between my mother and father is me!,,
83129,Everyone tried to help the family _____ house had burned down in the fire. ,b,1,Everyone tried to help the family why house had burned down in the fire.,Everyone tried to help the family whose house had burned down in the fire.,Everyone tried to help the family where house had burned down in the fire.,Everyone tried to help the family which house had burned down in the fire.,
83130,This is the most interesting book _____ I have read. ,a,1,This is the most interesting book that I have read.,This is the most interesting book which I have read.,This is the most interesting book who I have read.,This is the most interesting book when I have read.,
83131,The flower _____ very nice. ,d,1,The flower has very nice.,The flower are very nice.,The flower comes very nice.,The flower looks very nice.,
83132,She usually _____ a taxi to school with her sister. ,d,1,She usually by a taxi to school with her sister.,She usually in a taxi to school with her sister.,She usually on a taxi to school with her sister.,She usually takes a taxi to school with her sister.,
83133,Turn right _____ the next traffic light. ,d,1,Turn right from the next traffic light.,Turn right on the next traffic light.,Turn right to the next traffic light.,Turn right at the next traffic light.,
83134,"Nancy talked to her mother _____ , so her mother could not bear it. ",d,1,"Nancy talked to her mother happily , so her mother could not bear it.","Nancy talked to her mother sadly , so her mother could not bear it.","Nancy talked to her mother privately , so her mother could not bear it.","Nancy talked to her mother rudely , so her mother could not bear it.",
83135,"She looked _____ her handbag, but her keys were not there. ",d,1,"She looked for her handbag, but her keys were not there.","She looked to her handbag, but her keys were not there.","She looked at her handbag, but her keys were not there.","She looked in her handbag, but her keys were not there.",
83136,"“Help _____ to some mooncakes”, Han Meimei said to the twins. ",d,1,"“Help you to some mooncakes”, Han Meimei said to the twins.","“Help oneself to some mooncakes”, Han Meimei said to the twins.","“Help yourself to some mooncakes”, Han Meimei said to the twins.","“Help yourselves to some mooncakes”, Han Meimei said to the twins.",
83137,"Every great accomplishment rests on the _____ of what came before it;when you trace it back, you'll see one small step that started it all. ",d,1,"Every great accomplishment rests on the reputation of what came before it;when you trace it back, you'll see one small step that started it all.","Every great accomplishment rests on the expectation of what came before it;when you trace it back, you'll see one small step that started it all.","Every great accomplishment rests on the recreation of what came before it;when you trace it back, you'll see one small step that started it all.","Every great accomplishment rests on the foundation of what came before it;when you trace it back, you'll see one small step that started it all.",
83138,There _____ a river before. ,c,1,There is a river before.,There are a river before.,There was a river before.,,
83139,"Give us _____ passports, please. ",a,1,"Give us our passports, please.","Give us that passports, please.","Give us this passports, please.","Give us / passports, please.",
83140,A _____ means a time when you can do something. ,c,1,A difference means a time when you can do something.,A trick means a time when you can do something.,A chance means a time when you can do something.,,
83141,Americans often take fish and chips _____ home. ,b,1,Americans often take fish and chips to home.,Americans often take fish and chips at home.,Americans often take fish and chips for home.,Americans often take fish and chips / home.,
83142,I only watch Michael Jordan _____ TV. ,a,1,I only watch Michael Jordan on TV.,I only watch Michael Jordan in TV.,I only watch Michael Jordan under TV.,,
83143,"Van Morrison, my favourite _____ is going to give a piano show tonight. I can't wait!",a,1,"Van Morrison, my favourite musician is going to give a piano show tonight. I can't wait!","Van Morrison, my favourite writer is going to give a piano show tonight. I can't wait!","Van Morrison, my favourite reporter is going to give a piano show tonight. I can't wait!","Van Morrison, my favourite guide is going to give a piano show tonight. I can't wait!",
83144,Did Lucy _____ the food yesterday? ,b,1,Did Lucy cooking the food yesterday?,Did Lucy cook the food yesterday?,Did Lucy cooks the food yesterday?,,
83145,The notebook is _____ thick. I don't like it.,c,1,The notebook is also thick. I don't like it.,The notebook is to thick. I don't like it.,The notebook is too thick. I don't like it.,,
83146,Everything _____ very expensive in our city. ,a,1,Everything is very expensive in our city.,Everything are very expensive in our city.,Everything am very expensive in our city.,,
83147,There is _____ hour for us to get there. ,b,1,There is a hour for us to get there.,There is an hour for us to get there.,There is the hour for us to get there.,,
83148,Where _____ your hometown? ,a,1,Where is your hometown?,Where was your hometown?,Where are your hometown?,Where were your hometown?,
83149,You can ask the teacher _____ help. ,b,1,You can ask the teacher at help.,You can ask the teacher for help.,You can ask the teacher in help.,You can ask the teacher to help.,
83150,My aunt often drops by house _____ Sunday afternoons because I am free then. ,c,1,My aunt often drops by house at Sunday afternoons because I am free then.,My aunt often drops by house in Sunday afternoons because I am free then.,My aunt often drops by house on Sunday afternoons because I am free then.,My aunt often drops by house of Sunday afternoons because I am free then.,
83151,There are _____ places of interest in Beijing. ,b,1,There are a places of interest in Beijing.,There are some places of interest in Beijing.,There are any places of interest in Beijing.,There are much places of interest in Beijing.,
83152,The girl is playing the guitar _____ the lake. ,b,1,The girl is playing the guitar on the lake.,The girl is playing the guitar by the lake.,The girl is playing the guitar in the lake.,The girl is playing the guitar under the lake.,
83153,There _____ any women in the park. ,b,1,There isn't any women in the park.,There aren't any women in the park.,There are any women in the park.,,
83154,Shaolin Temple is _____ action movie. ,b,1,Shaolin Temple is a action movie.,Shaolin Temple is an action movie.,Shaolin Temple is the action movie.,Shaolin Temple is / action movie.,
83155,John is _____ a play. ,a,1,John is in a play.,John is at a play.,John is on a play.,,
83156, _____ skirt is red. ,b,1,His skirt is red.,Her skirt is red.,She skirt is red.,,
83157,I am afraid of _____ . They are ugly and dirty.,a,1,I am afraid of bugs . They are ugly and dirty.,I am afraid of rug . They are ugly and dirty.,I am afraid of near . They are ugly and dirty.,I am afraid of electric . They are ugly and dirty.,
83158, _____ of us wants to pass the exam. ,b,1,Every of us wants to pass the exam.,Each of us wants to pass the exam.,None of us wants to pass the exam.,All of us wants to pass the exam.,
83159,No news _____ good news. ,b,1,No news be good news.,No news is good news.,No news an good news.,No news are good news.,
83160,Koalas are _____ Australia. ,a,1,Koalas are from Australia.,Koalas are in Australia.,Koalas are for Australia.,,
83161,I often get answers from my father because he has a lot of _____ . ,d,1,I often get answers from my father because he has a lot of books .,I often get answers from my father because he has a lot of diamonds .,I often get answers from my father because he has a lot of planets .,I often get answers from my father because he has a lot of knowledge .,
83162,There _____ twelve candles on it. ,a,1,There are twelve candles on it.,There is twelve candles on it.,There was twelve candles on it.,,
83163,"When we meet again in twenty years, we will be excited and talk about things and persons _____ we remembered in the school. ",c,1,"When we meet again in twenty years, we will be excited and talk about things and persons who we remembered in the school.","When we meet again in twenty years, we will be excited and talk about things and persons which we remembered in the school.","When we meet again in twenty years, we will be excited and talk about things and persons that we remembered in the school.","When we meet again in twenty years, we will be excited and talk about things and persons what we remembered in the school.",
83164,"The restaurant is so popular. Look, there are so many _____ here.",c,1,"The restaurant is so popular. Look, there are so many food here.","The restaurant is so popular. Look, there are so many dishes here.","The restaurant is so popular. Look, there are so many people here.","The restaurant is so popular. Look, there are so many waiters here.",
83165,Mary _____ homework every day. ,b,1,Mary do homework every day.,Mary does homework every day.,Mary doing homework every day.,,
83166,My answer to the question is wrong. Could you please tell me a(n) _____ one?,c,1,My answer to the question is wrong. Could you please tell me a(n) interesting one?,My answer to the question is wrong. Could you please tell me a(n) secret one?,My answer to the question is wrong. Could you please tell me a(n) correct one?,My answer to the question is wrong. Could you please tell me a(n) active one?,
83167,"This year, we have Art _____ Mondays. ",a,1,"This year, we have Art on Mondays.","This year, we have Art at Mondays.","This year, we have Art in Mondays.",,
83168,Who _____ you want to speak to?,c,1,Who are you want to speak to?,Who is you want to speak to?,Who do you want to speak to?,,
83169,Mary doesn't _____ her homework after lunch. ,c,1,Mary doesn't does her homework after lunch.,Mary doesn't / her homework after lunch.,Mary doesn't do her homework after lunch.,Mary doesn't doing her homework after lunch.,
83170,"When we were young, my husband _____ sleep in the living room every time he got angry. ",a,1,"When we were young, my husband used sleep in the living room every time he got angry.","When we were young, my husband would sleep in the living room every time he got angry.","When we were young, my husband will sleep in the living room every time he got angry.","When we were young, my husband uses sleep in the living room every time he got angry.",
83171,These books are _____ art. ,b,1,These books are of art.,These books are about art.,These books are from art.,,
83172,We need a lot of _____ every day. ,d,1,We need a lot of apple every day.,We need a lot of egg every day.,We need a lot of milks every day.,We need a lot of water every day.,
83173,Look at the photo. Jim is _____ the left of me.,d,1,Look at the photo. Jim is of the left of me.,Look at the photo. Jim is in the left of me.,Look at the photo. Jim is to the left of me.,Look at the photo. Jim is on the left of me.,
83174,The box is full _____ nails. ,b,1,The box is full in nails.,The box is full of nails.,The box is full at nails.,The box is full on nails.,
83175,This is a pen. _____ pen is purple.,c,1,This is a pen. A. pen is purple.,This is a pen. An pen is purple.,This is a pen. The pen is purple.,This is a pen. / pen is purple.,
83176,He _____ to show that he understood. ,b,1,He suggested to show that he understood.,He nodded to show that he understood.,He pulled to show that he understood.,,
83177,"If I find someone who looks like the suspect, my _____ reaction will be to tell the police. ",b,1,"If I find someone who looks like the suspect, my physical reaction will be to tell the police.","If I find someone who looks like the suspect, my immediate reaction will be to tell the police.","If I find someone who looks like the suspect, my sensitive reaction will be to tell the police.","If I find someone who looks like the suspect, my sudden reaction will be to tell the police.",
83178,Andy wants to grow a _____ in addition to a beard. ,b,1,Andy wants to grow a territory in addition to a beard.,Andy wants to grow a mustache in addition to a beard.,Andy wants to grow a campus in addition to a beard.,Andy wants to grow a behavior in addition to a beard.,
83179,It's the _____ of beauty and intelligence that made her stand out in the contest. ,d,1,It's the attempt of beauty and intelligence that made her stand out in the contest.,It's the connection of beauty and intelligence that made her stand out in the contest.,It's the relation of beauty and intelligence that made her stand out in the contest.,It's the combination of beauty and intelligence that made her stand out in the contest.,
83180,I'd _____ some vegetables. ,c,1,I'd love some vegetables.,I'd good some vegetables.,I'd like some vegetables.,,
83181,What do you want to buy _____ your family? ,c,1,What do you want to buy to your family?,What do you want to buy of your family?,What do you want to buy for your family?,,
83182," _____ the picture, I think of my grandmother. ",c,1,"See the picture, I think of my grandmother.","Seen the picture, I think of my grandmother.","Seeing the picture, I think of my grandmother.",,
83183,Choose the correct answer. It was windy _____ we closed the windows. ,b,1,Choose the correct answer. It was windy or we closed the windows.,Choose the correct answer. It was windy so we closed the windows.,Choose the correct answer. It was windy because we closed the windows.,,
83184,Dolphins and octopuses live in the _____ . ,c,1,Dolphins and octopuses live in the house .,Dolphins and octopuses live in the ground .,Dolphins and octopuses live in the sea .,,
83185," _____ the end of the day, I finished the task. ",a,1,"At the end of the day, I finished the task.","In the end of the day, I finished the task.","On the end of the day, I finished the task.","For the end of the day, I finished the task.",
83186,She can _____ a lot of food. ,a,1,She can eat a lot of food.,She can eats a lot of food.,She can ate a lot of food.,,
83187,Everyone in our school _____ to school on time. ,b,1,Everyone in our school go to school on time.,Everyone in our school goes to school on time.,Everyone in our school going to school on time.,,
83188,Please give _____ a cup of tea. ,d,1,Please give she a cup of tea.,Please give he a cup of tea.,Please give I a cup of tea.,Please give him a cup of tea.,
83189,"This is my schoolbag, _____ that is your pencil box. ",c,1,"This is my schoolbag, in that is your pencil box.","This is my schoolbag, of that is your pencil box.","This is my schoolbag, and that is your pencil box.","This is my schoolbag, but that is your pencil box.",
83190,Mrs. Smith _____ going to see a friend tonight.,b,1,Mrs. Smith am going to see a friend tonight.,Mrs. Smith is going to see a friend tonight.,Mrs. Smith be going to see a friend tonight.,Mrs. Smith are going to see a friend tonight.,
83191,The boy first showed _____ as an athlete in grade school. ,c,1,The boy first showed phenomenon as an athlete in grade school.,The boy first showed possession as an athlete in grade school.,The boy first showed promise as an athlete in grade school.,The boy first showed principle as an athlete in grade school.,
83192,He is a（n） _____ and he spends much time in the sky. ,c,1,He is a（n） cook and he spends much time in the sky.,He is a（n） violinist and he spends much time in the sky.,He is a（n） pilot and he spends much time in the sky.,He is a（n） engineer and he spends much time in the sky.,
83193," _____ in, please. ",a,1,"Come in, please.","Open in, please.","Close in, please.",,
83194,"Bruno still wished that he could go back home to Berlin, although the memories of that place were beginning to _____ . ",d,1,"Bruno still wished that he could go back home to Berlin, although the memories of that place were beginning to appear .","Bruno still wished that he could go back home to Berlin, although the memories of that place were beginning to show .","Bruno still wished that he could go back home to Berlin, although the memories of that place were beginning to fail .","Bruno still wished that he could go back home to Berlin, although the memories of that place were beginning to fade .",
83195, _____ you have lunch at school?,b,1,Are you have lunch at school?,Do you have lunch at school?,Is you have lunch at school?,,
83196,This road is usually busy _____ the rush hours. ,c,1,This road is usually busy between the rush hours.,This road is usually busy among the rush hours.,This road is usually busy in the rush hours.,,
83197,Martin promised his daughter _____ her from school earlier on her birthday. ,c,1,Martin promised his daughter collect her from school earlier on her birthday.,Martin promised his daughter collecting her from school earlier on her birthday.,Martin promised his daughter tocollect her from school earlier on her birthday.,Martin promised his daughter collected her from school earlier on her birthday.,
83198,They _____ a good time at the party. ,a,1,They have a good time at the party.,They has a good time at the party.,They are a good time at the party.,,
83199,The country needs a _____ government. We have had three Prime Ministers in a year.,d,1,The country needs a stationary government. We have had three Prime Ministers in a year.,The country needs a changeless government. We have had three Prime Ministers in a year.,The country needs a constant government. We have had three Prime Ministers in a year.,The country needs a stable government. We have had three Prime Ministers in a year.,
83200,The weather was _____ . ,c,1,The weather was sun .,The weather was cloud .,The weather was cloudy .,,
83201,Pink is her _____ colour. ,c,1,Pink is her good colour.,Pink is her nice colour.,Pink is her favorite colour.,Pink is her like colour.,
83202,It was some time _____ we realized the truth.,d,1,It was some time when we realized the truth.,It was some time until we realized the truth.,It was some time since we realized the truth.,It was some time before we realized the truth.,
83203,Can you tell me _____ the zoo is open on Monday? ,c,1,Can you tell me when the zoo is open on Monday?,Can you tell me what the zoo is open on Monday?,Can you tell me if the zoo is open on Monday?,Can you tell me that the zoo is open on Monday?,
83204,This isn't a Chinese car. _____ a Japanese car.,a,1,This isn't a Chinese car. It's a Japanese car.,This isn't a Chinese car. That's a Japanese car.,This isn't a Chinese car. She's a Japanese car.,This isn't a Chinese car. He's a Japanese car.,
83205,I _____ go to school by bike. But sometimes I go by bus.,b,1,I sometimes go to school by bike. But sometimes I go by bus.,I usually go to school by bike. But sometimes I go by bus.,I today go to school by bike. But sometimes I go by bus.,,
83206,Is there a _____ here? ,c,1,Is there a milk here?,Is there a coffee here?,Is there a passport here?,Is there a sugar here?,
83207," _____ food is to the body, so is learning to the mind. ",a,1,"As food is to the body, so is learning to the mind.","While food is to the body, so is learning to the mind.","Unless food is to the body, so is learning to the mind.","Since food is to the body, so is learning to the mind.",
83208,He was very busy _____ recently.,b,1,He was very busy late recently.,He was very busy latest recently.,He was very busy later recently.,,
83209,The girl is my sister. _____ name is Betty.,a,1,The girl is my sister. Her name is Betty.,The girl is my sister. My name is Betty.,The girl is my sister. Your name is Betty.,The girl is my sister. His name is Betty.,
83210,Look! This is the _____ office. ,c,1,Look! This is the teacher office.,Look! This is the teacher's office.,Look! This is the teachers' office.,,
83211,I don't have a _____ /pa: tnə/ to practice English with. ,b,1,I don't have a patient /pa: tnə/ to practice English with.,I don't have a partner /pa: tnə/ to practice English with.,I don't have a pioneer /pa: tnə/ to practice English with.,I don't have a pardon /pa: tnə/ to practice English with.,
83212,Don't worry _____ me. I can do it.,c,1,Don't worry for me. I can do it.,Don't worry with me. I can do it.,Don't worry about me. I can do it.,Don't worry of me. I can do it.,
83213,"Used _____ , the battery can last 72 hours. ",b,1,"Used artificially , the battery can last 72 hours.","Used properly , the battery can last 72 hours.","Used scarcely , the battery can last 72 hours.","Used instantly , the battery can last 72 hours.",
83214,It rained all day _____ 12th April. ,c,1,It rained all day at 12th April.,It rained all day in 12th April.,It rained all day on 12th April.,It rained all day of 12th April.,
83215,I'm going to be _____ basketball player. ,b,1,I'm going to be the basketball player.,I'm going to be a basketball player.,I'm going to be an basketball player.,,
83216,I'm 2 years _____ than Tom. ,a,1,I'm 2 years older than Tom.,I'm 2 years old than Tom.,I'm 2 years longer than Tom.,,
83217,"Look, I've bought _____ sweets for you. ",b,1,"Look, I've bought any sweets for you.","Look, I've bought some sweets for you.","Look, I've bought a sweets for you.",,
83218,The population of China is _____ than that of America. ,a,1,The population of China is larger than that of America.,The population of China is large than that of America.,The population of China is More than that of America.,,
83219,The desk is made _____ wood. ,c,1,The desk is made from wood.,The desk is made at wood.,The desk is made of wood.,The desk is made in wood.,
83220, _____ a big supermarket!,c,1,How a big supermarket!,what a big supermarket!,What a big supermarket!,,
83221,"It was a small room, _____ it afforded a fine view of the old city．",d,1,"It was a small room, so it afforded a fine view of the old city．","It was a small room, for it afforded a fine view of the old city．","It was a small room, or it afforded a fine view of the old city．","It was a small room, but it afforded a fine view of the old city．",
83222, _____ you know our new art teacher? ,b,1,Are you know our new art teacher?,Do you know our new art teacher?,Does you know our new art teacher?,,
83223,It's reported that both sides have _____ their willingness to start a new round of talk. ,c,1,It's reported that both sides have inspired their willingness to start a new round of talk.,It's reported that both sides have represented their willingness to start a new round of talk.,It's reported that both sides have signaled their willingness to start a new round of talk.,It's reported that both sides have reflected their willingness to start a new round of talk.,
83224,I _____ friendly and funny. ,b,1,I is friendly and funny.,I am friendly and funny.,I can friendly and funny.,,
83225,Mr. Black said the timing was a(n) _____ and that his decision was unrelated to Mr White’s departure.,d,1,Mr. Black said the timing was a(n) accident and that his decision was unrelated to Mr White’s departure.,Mr. Black said the timing was a(n) consequence and that his decision was unrelated to Mr White’s departure.,Mr. Black said the timing was a(n) symptom and that his decision was unrelated to Mr White’s departure.,Mr. Black said the timing was a(n) coincidence and that his decision was unrelated to Mr White’s departure.,
83226,We are excited to hear that our class _____ the basketball game. ,a,1,We are excited to hear that our class won the basketball game.,We are excited to hear that our class beat the basketball game.,We are excited to hear that our class lost the basketball game.,We are excited to hear that our class missed the basketball game.,
83227,"The 32nd Olympic Games will take place _____ August, 20",a,1,"The 32nd Olympic Games will take place in August, 20","The 32nd Olympic Games will take place on August, 20","The 32nd Olympic Games will take place at August, 20","The 32nd Olympic Games will take place of August, 20",
